id,catalogue_id,gaussian_id,source_id,tile_id,sbid,obs_start_time,n_gaus,ra,dec,e_ra,e_dec,total_flux_gaussian,e_total_flux_gaussian_pybdsf,e_total_flux_gaussian,total_flux_source,e_total_flux_source_pybdsf,e_total_flux_source,peak_flux,e_peak_flux,maj,e_maj,min,e_min,pa,e_pa,dc_maj,e_dc_maj,dc_min,e_dc_min,dc_pa,e_dc_pa,s_code,separation_tile_centre,noise,gal_lon,gal_lat
2281392,4549,RACS_2211-25A_3909,RACS_2211-25A_3506,RACS_2211-25A,8576,58598.87694,4,332.802048,-23.782807,0.24,0.24,53.737,1.341,4.468,565.655,2.236,40.158,30.637,0.522,33.48,0.58,32.75,0.55,98.3,31.29,22.27,0.58,21.15,0.55,98.3,31.29,M,1.3472,0.481,29.091344,-53.826639
2281393,4549,RACS_2211-25A_3910,RACS_2211-25A_3506,RACS_2211-25A,8576,58598.87694,4,332.798904,-23.79418,0.17,0.18,64.857,1.26,5.195,565.655,2.236,40.158,40.001,0.52,32.95,0.44,30.76,0.39,161.98,8.03,21.46,0.44,17.93,0.39,161.98,8.03,M,1.3359,0.481,29.071467,-53.826592
2281394,4549,RACS_2211-25A_3911,RACS_2211-25A_3506,RACS_2211-25A,8576,58598.87694,4,332.797547,-23.798052,0.03,0.03,201.452,0.898,14.629,565.655,2.236,40.158,185.613,0.491,26.57,0.07,25.54,0.07,172.16,2.81,8.97,0.07,5.23,0.07,172.16,2.81,M,1.3321,0.481,29.064593,-53.826322
2281395,4549,RACS_2211-25A_3912,RACS_2211-25A_3507,RACS_2211-25A,8576,58598.87694,1,332.810572,-28.008849,1.68,2.27,2.474,0.689,0.963,2.474,0.689,0.963,2.241,0.367,30.73,5.83,22.48,3.17,151.23,24.65,0.0,5.83,0.0,3.17,0.0,24.65,S,2.8791,0.365,21.994951,-54.648747
2281396,4549,RACS_2211-25A_3913,RACS_2211-25A_3508,RACS_2211-25A,8576,58598.87694,1,332.807077,-25.286961,1.6,1.52,7.377,1.109,1.504,7.377,1.109,1.504,4.08,0.42,38.96,4.46,29.0,2.69,131.9,16.84,29.88,4.46,14.7,2.69,131.9,16.84,S,0.1586,0.392,26.599345,-54.168697
2281397,4549,RACS_2211-25A_3914,RACS_2211-25A_3509,RACS_2211-25A,8576,58598.87694,1,332.807187,-24.318287,0.5,0.54,8.668,0.667,1.292,8.668,0.667,1.292,7.696,0.355,27.29,1.29,25.8,1.16,154.89,34.41,10.93,1.29,6.37,1.16,154.89,34.41,S,0.8118,0.346,28.210107,-53.957294
2281398,4549,RACS_2211-25A_3915,RACS_2211-25A_3510,RACS_2211-25A,8576,58598.87694,1,332.80473,-22.141924,0.34,0.29,20.142,0.871,2.099,20.142,0.871,2.099,17.028,0.446,30.24,0.87,24.48,0.58,123.11,5.6,16.99,0.87,0.0,0.58,123.11,5.6,S,2.988,0.434,31.763771,-53.402797
2281399,4549,RACS_2211-25A_3916,RACS_2211-25A_3511,RACS_2211-25A,8576,58598.87694,1,332.802466,-27.872139,2.47,2.18,7.448,1.231,1.6,7.448,1.231,1.6,2.965,0.363,50.03,7.01,31.41,3.36,129.2,14.32,43.33,7.01,19.0,3.36,129.2,14.32,S,2.7425,0.347,22.226888,-54.621907
2281400,4549,RACS_2211-25A_3917,RACS_2211-25A_3512,RACS_2211-25A,8576,58598.87694,1,332.804123,-26.704289,1.45,1.84,2.771,0.598,0.916,2.771,0.598,0.916,2.153,0.29,30.62,4.41,26.28,3.31,163.67,38.89,17.67,4.41,8.12,3.31,163.67,38.89,S,1.5747,0.277,24.213928,-54.436347
2281401,4549,RACS_2211-25A_3918,RACS_2211-25A_3513,RACS_2211-25A,8576,58598.87694,1,332.802314,-25.183967,0.33,0.37,13.519,0.715,1.614,13.519,0.715,1.614,12.608,0.393,27.86,0.93,24.05,0.7,149.48,9.25,12.3,0.93,0.0,0.7,149.48,9.25,S,0.0598,0.388,26.769834,-54.143019
